% Model:              HMD_med2_10MHz_100_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jul 23 2014, 09:17
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e7
23.3345237792             23.3345237792            -2                       2.790570233644922E-6
24.0416305603             24.0416305603            -2                       3.0255615095622045E-6
24.7487373415             24.7487373415            -2                       3.0905709701120955E-6
25.4558441227             25.4558441227            -2                       3.1472871911461023E-6
26.1629509039             26.1629509039            -2                       3.133580114476607E-6
26.8700576851             26.8700576851            -2                       3.084940236829696E-6
27.5771644663             27.5771644663            -2                       3.024078491066639E-6
28.2842712475             28.2842712475            -2                       2.8944987879147066E-6
28.9913780286             28.9913780286            -2                       2.7664304318269623E-6
29.6984848098             29.6984848098            -2                       2.597482910345843E-6
30.405591591              30.405591591             -2                       2.448446614409385E-6
31.1126983722             31.1126983722            -2                       2.2536679328635343E-6
31.8198051534             31.8198051534            -2                       2.070777791088978E-6
32.5269119346             32.5269119346            -2                       1.9656597726256557E-6
33.2340187158             33.2340187158            -2                       1.789881734345605E-6
33.941125497              33.941125497             -2                       1.599189035632059E-6
34.6482322781             34.6482322781            -2                       1.482943799950766E-6
35.3553390593             35.3553390593            -2                       1.395209535282453E-6
36.0624458405             36.0624458405            -2                       1.249466951029902E-6
36.7695526217             36.7695526217            -2                       1.1827541825986513E-6
37.4766594029             37.4766594029            -2                       1.135518208407832E-6
38.1837661841             38.1837661841            -2                       1.0933832541208966E-6
38.8908729653             38.8908729653            -2                       1.0786528016785273E-6
39.5979797464             39.5979797464            -2                       1.0510274375491053E-6
40.3050865276             40.3050865276            -2                       1.0289668848802872E-6
41.0121933088             41.0121933088            -2                       1.0257342565135357E-6
41.71930009               41.71930009              -2                       1.0211688191797164E-6
42.4264068712             42.4264068712            -2                       1.0260983922252577E-6
43.1335136524             43.1335136524            -2                       1.0165950300084493E-6
43.8406204336             43.8406204336            -2                       1.0164646464629846E-6
44.5477272148             44.5477272148            -2                       9.931924184012646E-7
45.2548339959             45.2548339959            -2                       1.0289836551364864E-6
45.9619407771             45.9619407771            -2                       9.942014427144764E-7
46.6690475583             46.6690475583            -2                       9.697928237663886E-7
47.3761543395             47.3761543395            -2                       9.700760141564625E-7
48.0832611207             48.0832611207            -2                       9.476816120574522E-7
48.7903679019             48.7903679019            -2                       9.305761280830026E-7
49.4974746831             49.4974746831            -2                       9.240231155720329E-7
50.2045814642             50.2045814642            -2                       8.966306859105086E-7
50.9116882454             50.9116882454            -2                       8.685241741640568E-7
51.6187950266             51.6187950266            -2                       8.66100231602115E-7
52.3259018078             52.3259018078            -2                       8.387319834585972E-7
53.033008589              53.033008589             -2                       8.186006991724927E-7
53.7401153702             53.7401153702            -2                       8.059902487076244E-7
54.4472221514             54.4472221514            -2                       7.807042118542139E-7
55.1543289326             55.1543289326            -2                       7.691071095196641E-7
