% Model:              HMD_point_source_med2_100k_final_ref_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 16 2016, 13:14
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e5
5.6568542495              5.6568542495             -7                       4.6040211975970226E-4
6.3639610307              6.3639610307             -7                       3.245812287536647E-4
7.0710678119              7.0710678119             -7                       2.4345297304172718E-4
7.7781745931              7.7781745931             -7                       1.8278170266471292E-4
8.4852813742              8.4852813742             -7                       1.3835340783632845E-4
9.1923881554              9.1923881554             -7                       1.0860777516071797E-4
9.8994949366              9.8994949366             -7                       8.707183336900653E-5
10.6066017178             10.6066017178            -7                       7.344706003490235E-5
11.313708499              11.313708499             -7                       5.83026797385772E-5
12.0208152802             12.0208152802            -7                       4.832415912625352E-5
12.7279220614             12.7279220614            -7                       4.145119556079872E-5
13.4350288425             13.4350288425            -7                       3.520619036823685E-5
14.1421356237             14.1421356237            -7                       2.9778922554981456E-5
14.8492424049             14.8492424049            -7                       2.636454971372373E-5
15.5563491861             15.5563491861            -7                       2.2933114827534585E-5
16.2634559673             16.2634559673            -7                       1.9983721226683927E-5
16.9705627485             16.9705627485            -7                       1.7606861124389864E-5
17.6776695297             17.6776695297            -7                       1.5536496386386986E-5
18.3847763109             18.3847763109            -7                       1.3792340635357468E-5
19.091883092              19.091883092             -7                       1.2327626645265049E-5
19.7989898732             19.7989898732            -7                       1.0982488250763402E-5
20.5060966544             20.5060966544            -7                       9.96241880290682E-6
21.2132034356             21.2132034356            -7                       9.067654297155093E-6
21.9203102168             21.9203102168            -7                       8.123447343286852E-6
22.627416998              22.627416998             -7                       7.4368582563231525E-6
23.3345237792             23.3345237792            -7                       6.8042376360860684E-6
24.0416305603             24.0416305603            -7                       6.223364387948774E-6
24.7487373415             24.7487373415            -7                       5.6758332810875305E-6
25.4558441227             25.4558441227            -7                       5.269054680081196E-6
26.1629509039             26.1629509039            -7                       4.8283300335756936E-6
26.8700576851             26.8700576851            -7                       4.457543299890798E-6
27.5771644663             27.5771644663            -7                       4.139636505339743E-6
28.2842712475             28.2842712475            -7                       3.8220173916153195E-6
28.9913780286             28.9913780286            -7                       3.568850329720273E-6
29.6984848098             29.6984848098            -7                       3.3350028634200912E-6
30.405591591              30.405591591             -7                       3.0951405658205504E-6
31.1126983722             31.1126983722            -7                       2.8571953071996236E-6
31.8198051534             31.8198051534            -7                       2.6506518708213255E-6
32.5269119346             32.5269119346            -7                       2.5000025511373644E-6
33.2340187158             33.2340187158            -7                       2.3523738880397494E-6
33.941125497              33.941125497             -7                       2.2049754261516562E-6
34.6482322781             34.6482322781            -7                       2.0664713947738284E-6
35.3553390593             35.3553390593            -7                       1.941573298848647E-6
36.0624458405             36.0624458405            -7                       1.8434878905681134E-6
36.7695526217             36.7695526217            -7                       1.7373075718099612E-6
37.4766594029             37.4766594029            -7                       1.6379181464556592E-6
38.1837661841             38.1837661841            -7                       1.5489178630725696E-6
38.8908729653             38.8908729653            -7                       1.4656063763593038E-6
39.5979797464             39.5979797464            -7                       1.3776729746191787E-6
40.3050865276             40.3050865276            -7                       1.3043152334260635E-6
41.0121933088             41.0121933088            -7                       1.2311212104630848E-6
41.71930009               41.71930009              -7                       1.174937468878128E-6
42.4264068712             42.4264068712            -7                       1.1125009624457994E-6
43.1335136524             43.1335136524            -7                       1.057963968580404E-6
43.8406204336             43.8406204336            -7                       9.99642119927944E-7
44.5477272148             44.5477272148            -7                       9.54962047927914E-7
45.2548339959             45.2548339959            -7                       9.103839231439581E-7
45.9619407771             45.9619407771            -7                       8.659234905691292E-7
46.6690475583             46.6690475583            -7                       8.266924889877988E-7
47.3761543395             47.3761543395            -7                       7.876258446105464E-7
48.0832611207             48.0832611207            -7                       7.486817039566614E-7
48.7903679019             48.7903679019            -7                       7.162951218491531E-7
49.4974746831             49.4974746831            -7                       6.868006737081563E-7
50.2045814642             50.2045814642            -7                       6.573819720232453E-7
50.9116882454             50.9116882454            -7                       6.277602705668566E-7
51.6187950266             51.6187950266            -7                       6.007057330870327E-7
52.3259018078             52.3259018078            -7                       5.760341854298907E-7
53.033008589              53.033008589             -7                       5.514398416868156E-7
53.7401153702             53.7401153702            -7                       5.269335123245923E-7
54.4472221514             54.4472221514            -7                       5.078890674752526E-7
55.1543289326             55.1543289326            -7                       4.864013366064269E-7
55.8614357137             55.8614357137            -7                       4.645454511828366E-7
56.5685424949             56.5685424949            -7                       4.468915141416525E-7
57.2756492761             57.2756492761            -7                       4.291801652067973E-7
57.9827560573             57.9827560573            -7                       4.11534762639249E-7
58.6898628385             58.6898628385            -7                       3.9519273446084786E-7
59.3969696197             59.3969696197            -7                       3.7927994204033464E-7
60.1040764009             60.1040764009            -7                       3.634328926436217E-7
60.811183182              60.811183182             -7                       3.518326699349736E-7
61.5182899632             61.5182899632            -7                       3.386096844782999E-7
62.2253967444             62.2253967444            -7                       3.245661405626662E-7
62.9325035256             62.9325035256            -7                       3.1399626501082925E-7
63.6396103068             63.6396103068            -7                       3.024055099231675E-7
64.346717088              64.346717088             -7                       2.908589832652694E-7
65.0538238692             65.0538238692            -7                       2.7936216920584586E-7
65.7609306503             65.7609306503            -7                       2.7017839330686415E-7
66.4680374315             66.4680374315            -7                       2.602947425503631E-7
67.1751442127             67.1751442127            -7                       2.507197308227328E-7
67.8822509939             67.8822509939            -7                       2.4225405744727076E-7
68.5893577751             68.5893577751            -7                       2.3391081515524706E-7
69.2964645563             69.2964645563            -7                       2.2560033288233796E-7
70.0035713375             70.0035713375            -7                       2.1766180116807643E-7
70.7106781187             70.7106781187            -7                       2.1051133472462088E-7
