% Model:              HMD_point_source_med1_1k_final_800_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 17 2016, 10:28
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1000
32.5269119346             32.5269119346            -2                       2.4620636261630387E-6
33.2340187158             33.2340187158            -2                       2.322877575332558E-6
33.941125497              33.941125497             -2                       2.183691869106224E-6
34.6482322781             34.6482322781            -2                       2.044506577883497E-6
35.3553390593             35.3553390593            -2                       1.905321792569733E-6
36.0624458405             36.0624458405            -2                       1.766137632797488E-6
36.7695526217             36.7695526217            -2                       1.6799238441629601E-6
37.4766594029             37.4766594029            -2                       1.5962359137837856E-6
38.1837661841             38.1837661841            -2                       1.5619735135566002E-6
38.8908729653             38.8908729653            -2                       1.4819071501890023E-6
39.5979797464             39.5979797464            -2                       1.4018414268927587E-6
40.3050865276             40.3050865276            -2                       1.3217764599588392E-6
41.0121933088             41.0121933088            -2                       1.242305133249719E-6
41.71930009               41.71930009              -2                       1.153431162079064E-6
42.4264068712             42.4264068712            -2                       1.1038775537604955E-6
43.1335136524             43.1335136524            -2                       1.0543241827720124E-6
43.8406204336             43.8406204336            -2                       1.0047710842275904E-6
44.5477272148             44.5477272148            -2                       9.453940891742671E-7
45.2548339959             45.2548339959            -2                       9.06305740053412E-7
45.9619407771             45.9619407771            -2                       8.672175997044359E-7
46.6690475583             46.6690475583            -2                       8.216119498957378E-7
47.3761543395             47.3761543395            -2                       7.904639230911483E-7
48.0832611207             48.0832611207            -2                       7.593162837204439E-7
48.7903679019             48.7903679019            -2                       7.281690815014043E-7
49.4974746831             49.4974746831            -2                       6.970223750378328E-7
50.2045814642             50.2045814642            -2                       6.658762339017884E-7
50.9116882454             50.9116882454            -2                       6.385338889778562E-7
51.6187950266             51.6187950266            -2                       6.144277679012223E-7
52.3259018078             52.3259018078            -2                       5.903219118342078E-7
53.033008589              53.033008589             -2                       5.662163546240383E-7
53.7401153702             53.7401153702            -2                       5.421111361376933E-7
54.4472221514             54.4472221514            -2                       5.180063036623131E-7
55.1543289326             55.1543289326            -2                       4.939019137155715E-7
55.8614357137             55.8614357137            -2                       4.914419864356299E-7
56.5685424949             56.5685424949            -2                       4.73700873973325E-7
57.2756492761             57.2756492761            -2                       4.4941198672644553E-7
57.9827560573             57.9827560573            -2                       4.3549572797996504E-7
58.6898628385             58.6898628385            -2                       4.215797900580767E-7
59.3969696197             59.3969696197            -2                       4.076642058155652E-7
60.1040764009             60.1040764009            -2                       3.9374901275086083E-7
60.811183182              60.811183182             -2                       3.7464663885924067E-7
61.5182899632             61.5182899632            -2                       3.6376210409042763E-7
62.2253967444             62.2253967444            -2                       3.5287777190064175E-7
62.9325035256             62.9325035256            -2                       3.4199366163180203E-7
63.6396103068             63.6396103068            -2                       3.3110979516860016E-7
64.346717088              64.346717088             -2                       3.2022619737047577E-7
65.0538238692             65.0538238692            -2                       3.0934289659473424E-7
65.7609306503             65.7609306503            -2                       2.9845992533554885E-7
66.4680374315             66.4680374315            -2                       2.875773209999851E-7
67.1751442127             67.1751442127            -2                       2.807184655319079E-7
67.8822509939             67.8822509939            -2                       2.724658388216272E-7
68.5893577751             68.5893577751            -2                       2.6421360187762735E-7
69.2964645563             69.2964645563            -2                       2.5402625919248314E-7
70.0035713375             70.0035713375            -2                       2.472192377746185E-7
70.7106781187             70.7106781187            -2                       2.4041251394971656E-7
0                         0                        -7                       5.939378379121331E-5
0.7071067812              0.7071067812             -7                       4.903894126368544E-5
1.4142135624              1.4142135624             -7                       1.2312883902810474E-4
2.1213203436              2.1213203436             -7                       2.780712181974074E-4
2.8284271247              2.8284271247             -7                       3.238573179766306E-4
3.5355339059              3.5355339059             -7                       3.362726418575022E-4
4.2426406871              4.2426406871             -7                       2.9143408013688923E-4
4.9497474683              4.9497474683             -7                       2.5489051512825247E-4
5.6568542495              5.6568542495             -7                       2.1246734769465777E-4
6.3639610307              6.3639610307             -7                       1.67123690908476E-4
7.0710678119              7.0710678119             -7                       1.3159374099180565E-4
7.7781745931              7.7781745931             -7                       1.1367111170194675E-4
8.4852813742              8.4852813742             -7                       8.951655861342815E-5
9.1923881554              9.1923881554             -7                       7.485673847888596E-5
9.8994949366              9.8994949366             -7                       6.520886139390457E-5
10.6066017178             10.6066017178            -7                       5.628526850374365E-5
11.313708499              11.313708499             -7                       4.5829726755808885E-5
12.0208152802             12.0208152802            -7                       3.8918813122282284E-5
12.7279220614             12.7279220614            -7                       3.387625897511759E-5
13.4350288425             13.4350288425            -7                       2.883370496470581E-5
14.1421356237             14.1421356237            -7                       2.6405443174956597E-5
14.8492424049             14.8492424049            -7                       2.198498016969499E-5
15.5563491861             15.5563491861            -7                       1.9175319071193395E-5
16.2634559673             16.2634559673            -7                       1.7107801391348156E-5
16.9705627485             16.9705627485            -7                       1.5653069298598846E-5
17.6776695297             17.6776695297            -7                       1.4198337208184455E-5
18.3847763109             18.3847763109            -7                       1.2743605120904465E-5
19.091883092              19.091883092             -7                       1.128887303817643E-5
19.7989898732             19.7989898732            -7                       9.834140961517601E-6
20.5060966544             20.5060966544            -7                       8.763527847908177E-6
21.2132034356             21.2132034356            -7                       8.155883866965677E-6
21.9203102168             21.9203102168            -7                       7.5482399019751134E-6
22.627416998              22.627416998             -7                       6.9405959571262695E-6
23.3345237792             23.3345237792            -7                       6.332952038216906E-6
24.0416305603             24.0416305603            -7                       5.759157554022111E-6
24.7487373415             24.7487373415            -7                       5.252978154256529E-6
25.4558441227             25.4558441227            -7                       5.017037922298622E-6
26.1629509039             26.1629509039            -7                       4.691732308433433E-6
26.8700576851             26.8700576851            -7                       4.097242041569124E-6
27.5771644663             27.5771644663            -7                       3.8815875482399665E-6
28.2842712475             28.2842712475            -7                       3.6659331308478927E-6
28.9913780286             28.9913780286            -7                       3.2088758845843664E-6
29.6984848098             29.6984848098            -7                       3.0437556577912575E-6
30.405591591              30.405591591             -7                       2.878635507850421E-6
31.1126983722             31.1126983722            -7                       2.713515448791502E-6
31.8198051534             31.8198051534            -7                       2.548395498280227E-6
32.5269119346             32.5269119346            -7                       2.383275678878032E-6
33.2340187158             33.2340187158            -7                       2.2181560198642633E-6
33.941125497              33.941125497             -7                       2.0530365599375992E-6
34.6482322781             34.6482322781            -7                       1.922688476012383E-6
35.3553390593             35.3553390593            -7                       1.8155893071710158E-6
36.0624458405             36.0624458405            -7                       1.7084905179296136E-6
36.7695526217             36.7695526217            -7                       1.644135066723478E-6
37.4766594029             37.4766594029            -7                       1.5691066409305206E-6
38.1837661841             38.1837661841            -7                       1.4940783411539653E-6
38.8908729653             38.8908729653            -7                       1.4190501873821098E-6
39.5979797464             39.5979797464            -7                       1.3440222040770885E-6
40.3050865276             40.3050865276            -7                       1.2689944214518252E-6
41.0121933088             41.0121933088            -7                       1.19443329757381E-6
41.71930009               41.71930009              -7                       1.1455674805581516E-6
42.4264068712             42.4264068712            -7                       1.096701785052615E-6
43.1335136524             43.1335136524            -7                       1.0478362280570357E-6
43.8406204336             43.8406204336            -7                       9.989708298974274E-7
44.5477272148             44.5477272148            -7                       9.25626842560683E-7
45.2548339959             45.2548339959            -7                       8.867943651485164E-7
45.9619407771             45.9619407771            -7                       8.479622731958714E-7
46.6690475583             46.6690475583            -7                       8.091278278895627E-7
47.3761543395             47.3761543395            -7                       7.802962102066338E-7
48.0832611207             48.0832611207            -7                       7.514647266545991E-7
48.7903679019             48.7903679019            -7                       7.226333932880347E-7
49.4974746831             49.4974746831            -7                       6.938022288300694E-7
50.2045814642             50.2045814642            -7                       6.649712552548927E-7
50.9116882454             50.9116882454            -7                       6.36140498507191E-7
51.6187950266             51.6187950266            -7                       6.073099894719099E-7
52.3259018078             52.3259018078            -7                       5.784797651858177E-7
53.033008589              53.033008589             -7                       5.496498704559062E-7
53.7401153702             53.7401153702            -7                       5.208203600096868E-7
54.4472221514             54.4472221514            -7                       5.132313072750736E-7
55.1543289326             55.1543289326            -7                       4.917466958356592E-7
55.8614357137             55.8614357137            -7                       4.7648151689777783E-7
56.5685424949             56.5685424949            -7                       4.5669568644709393E-7
57.2756492761             57.2756492761            -7                       4.4404077797424397E-7
57.9827560573             57.9827560573            -7                       4.3138600506991697E-7
58.6898628385             58.6898628385            -7                       4.187313800254406E-7
59.3969696197             59.3969696197            -7                       4.060769166641415E-7
60.1040764009             60.1040764009            -7                       3.8858675011766937E-7
60.811183182              60.811183182             -7                       3.7654904984840123E-7
61.5182899632             61.5182899632            -7                       3.6451151600723797E-7
62.2253967444             62.2253967444            -7                       3.5247416564738024E-7
62.9325035256             62.9325035256            -7                       3.4043701823171643E-7
63.6396103068             63.6396103068            -7                       3.2840009607634126E-7
64.346717088              64.346717088             -7                       3.1636342489320825E-7
65.0538238692             65.0538238692            -7                       3.0432703446150454E-7
65.7609306503             65.7609306503            -7                       2.9593175691214696E-7
66.4680374315             66.4680374315            -7                       2.8671915125594467E-7
67.1751442127             67.1751442127            -7                       2.7845321741380167E-7
67.8822509939             67.8822509939            -7                       2.70797579530359E-7
68.5893577751             68.5893577751            -7                       2.6314208519403196E-7
69.2964645563             69.2964645563            -7                       2.5548674730870743E-7
70.0035713375             70.0035713375            -7                       2.443493535334143E-7
70.7106781187             70.7106781187            -7                       2.3802413862108957E-7
